"area_sqrt","value","Scheme","variable","Framework"
160.624417,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
161.0267024,26344.36013,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
163.2795009,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
165.9345849,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
166.0380297,26000.44683,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
168.5896688,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
171.2447528,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
171.7274953,25748.99263,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
173.8998368,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
176.5549207,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
177.2790345,25570.12315,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
179.2100047,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
178.7272621,25533.83079,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
181.8650886,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
183.0317164,25385.63699,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
184.5201726,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
187.1752565,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
188.5832556,25201.15084,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
189.8303405,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
192.4854244,7841.30596,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
194.1750233,25025.73777,"2","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
194.4163946,7837.67673,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
26.26268657,7831.23878,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
34.85970149,7831.23878,"1","RMSPE_mu","Paul and Cressie (2011): log-normal block-kriging"
